latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
29.80684,75.63822,330.04,0.44,0.38,2023-11-05,815,N,VIIRS,n,2,302.08,4.54,D,0
29.80771,76.04758,333.09,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,302.89,3.63,D,0
29.80793,75.53559,332.33,0.44,0.38,2023-11-05,815,N,VIIRS,n,2,302.96,1.11,D,0
29.80889,76.05709,346.51,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,303.22,13.19,D,0
29.81041,75.66572,349.33,0.44,0.39,2023-11-05,815,N,VIIRS,n,2,305.25,9.02,D,0
29.81101,75.72672,333.82,0.45,0.39,2023-11-05,815,N,VIIRS,n,2,303.03,4.9,D,0
29.81108,75.36602,332.81,0.43,0.38,2023-11-05,815,N,VIIRS,n,2,301.89,2.45,D,0
29.81171,76.1395,340.16,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,307.31,26.94,D,0
29.81281,76.17856,344,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,306.47,9.08,D,0
29.81395,75.66512,338,0.44,0.39,2023-11-05,815,N,VIIRS,n,2,303.47,4.94,D,0
29.81395,75.86375,336.52,0.45,0.39,2023-11-05,815,N,VIIRS,n,2,303.59,4.06,D,0
29.81407,74.69582,333.95,0.41,0.37,2023-11-05,815,N,VIIRS,n,2,300.58,2.15,D,0
29.8149,75.47889,340.88,0.44,0.38,2023-11-05,815,N,VIIRS,n,2,306.12,19.79,D,0
29.81495,75.48033,335.39,0.44,0.38,2023-11-05,815,N,VIIRS,n,2,306.45,19.86,D,0
29.81512,75.64619,345.7,0.44,0.39,2023-11-05,815,N,VIIRS,n,2,308.48,9.77,D,0
29.81703,76.18278,341.62,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,309.9,9.08,D,0
29.81867,75.64559,342.21,0.44,0.39,2023-11-05,815,N,VIIRS,n,2,305.63,6.34,D,0
