date,state_group,fire_count,year,month,day,season_day
2020-11-22,Other,20,2020,11,22,53
2020-11-23,Other,83,2020,11,23,54
2020-11-24,Other,25,2020,11,24,55
2020-11-25,Other,3,2020,11,25,56
2020-11-26,Other,29,2020,11,26,57
2020-11-27,Other,94,2020,11,27,58
2020-11-28,Other,163,2020,11,28,59
2020-11-29,Other,123,2020,11,29,60
2020-11-30,Other,76,2020,11,30,61
2021-10-01,Punjab,5,2021,10,1,1
2021-10-02,Punjab,0,2021,10,2,2
2021-10-03,Punjab,13,2021,10,3,3
2021-10-04,Punjab,28,2021,10,4,4
2021-10-05,Punjab,22,2021,10,5,5
2021-10-06,Punjab,30,2021,10,6,6
2021-10-07,Punjab,85,2021,10,7,7
2021-10-08,Punjab,89,2021,10,8,8
2021-10-09,Punjab,161,2021,10,9,9
2021-10-10,Punjab,173,2021,10,10,10
2021-10-11,Punjab,72,2021,10,11,11
2021-10-12,Punjab,96,2021,10,12,12
2021-10-13,Punjab,140,2021,10,13,13
2021-10-14,Punjab,353,2021,10,14,14
2021-10-15,Punjab,689,2021,10,15,15
2021-10-16,Punjab,512,2021,10,16,16
2021-10-17,Punjab,15,2021,10,17,17
2021-10-18,Punjab,70,2021,10,18,18
2021-10-19,Punjab,515,2021,10,19,19
2021-10-20,Punjab,1034,2021,10,20,20
2021-10-21,Punjab,753,2021,10,21,21
2021-10-22,Punjab,912,2021,10,22,22
2021-10-23,Punjab,572,2021,10,23,23
2021-10-24,Punjab,1,2021,10,24,24
2021-10-25,Punjab,114,2021,10,25,25
2021-10-26,Punjab,327,2021,10,26,26
2021-10-27,Punjab,298,2021,10,27,27
2021-10-28,Punjab,970,2021,10,28,28
2021-10-29,Punjab,1224,2021,10,29,29
2021-10-30,Punjab,1814,2021,10,30,30
2021-10-31,Punjab,2768,2021,10,31,31
2021-11-01,Punjab,2244,2021,11,1,32
2021-11-02,Punjab,2653,2021,11,2,33
2021-11-03,Punjab,2720,2021,11,3,34
2021-11-04,Punjab,3395,2021,11,4,35
2021-11-05,Punjab,6177,2021,11,5,36
2021-11-06,Punjab,4365,2021,11,6,37
2021-11-07,Punjab,4876,2021,11,7,38
2021-11-08,Punjab,5295,2021,11,8,39
2021-11-09,Punjab,4754,2021,11,9,40
2021-11-10,Punjab,5561,2021,11,10,41
2021-11-11,Punjab,4478,2021,11,11,42
2021-11-12,Punjab,3788,2021,11,12,43
2021-11-13,Punjab,4363,2021,11,13,44
2021-11-14,Punjab,2614,2021,11,14,45
2021-11-15,Punjab,2301,2021,11,15,46
2021-11-16,Punjab,1733,2021,11,16,47
2021-11-17,Punjab,696,2021,11,17,48
2021-11-18,Punjab,690,2021,11,18,49
2021-11-19,Punjab,548,2021,11,19,50
2021-11-20,Punjab,363,2021,11,20,51
2021-11-21,Punjab,242,2021,11,21,52
2021-11-22,Punjab,102,2021,11,22,53
2021-11-23,Punjab,93,2021,11,23,54
2021-11-24,Punjab,59,2021,11,24,55
2021-11-25,Punjab,34,2021,11,25,56
2021-11-26,Punjab,27,2021,11,26,57
2021-11-27,Punjab,22,2021,11,27,58
2021-11-28,Punjab,5,2021,11,28,59
2021-11-29,Punjab,12,2021,11,29,60
2021-11-30,Punjab,5,2021,11,30,61
2021-10-01,Haryana,2,2021,10,1,1
2021-10-02,Haryana,3,2021,10,2,2
2021-10-03,Haryana,7,2021,10,3,3
2021-10-04,Haryana,6,2021,10,4,4
2021-10-05,Haryana,10,2021,10,5,5
2021-10-06,Haryana,6,2021,10,6,6
2021-10-07,Haryana,18,2021,10,7,7
2021-10-08,Haryana,30,2021,10,8,8
2021-10-09,Haryana,82,2021,10,9,9
2021-10-10,Haryana,169,2021,10,10,10
2021-10-11,Haryana,78,2021,10,11,11
2021-10-12,Haryana,78,2021,10,12,12
2021-10-13,Haryana,132,2021,10,13,13
2021-10-14,Haryana,201,2021,10,14,14
2021-10-15,Haryana,591,2021,10,15,15
2021-10-16,Haryana,296,2021,10,16,16
2021-10-17,Haryana,0,2021,10,17,17
2021-10-18,Haryana,2,2021,10,18,18
2021-10-19,Haryana,79,2021,10,19,19
2021-10-20,Haryana,241,2021,10,20,20
2021-10-21,Haryana,221,2021,10,21,21
2021-10-22,Haryana,156,2021,10,22,22
2021-10-23,Haryana,263,2021,10,23,23
2021-10-24,Haryana,40,2021,10,24,24
2021-10-25,Haryana,108,2021,10,25,25
2021-10-26,Haryana,241,2021,10,26,26
2021-10-27,Haryana,152,2021,10,27,27
2021-10-28,Haryana,203,2021,10,28,28
2021-10-29,Haryana,231,2021,10,29,29
2021-10-30,Haryana,289,2021,10,30,30
2021-10-31,Haryana,444,2021,10,31,31
2021-11-01,Haryana,246,2021,11,1,32
2021-11-02,Haryana,246,2021,11,2,33
2021-11-03,Haryana,315,2021,11,3,34
2021-11-04,Haryana,387,2021,11,4,35
2021-11-05,Haryana,535,2021,11,5,36
2021-11-06,Haryana,313,2021,11,6,37
2021-11-07,Haryana,202,2021,11,7,38
2021-11-08,Haryana,235,2021,11,8,39
2021-11-09,Haryana,259,2021,11,9,40
2021-11-10,Haryana,357,2021,11,10,41
2021-11-11,Haryana,221,2021,11,11,42
2021-11-12,Haryana,191,2021,11,12,43
2021-11-13,Haryana,302,2021,11,13,44
2021-11-14,Haryana,232,2021,11,14,45
2021-11-15,Haryana,221,2021,11,15,46
2021-11-16,Haryana,351,2021,11,16,47
2021-11-17,Haryana,156,2021,11,17,48
2021-11-18,Haryana,135,2021,11,18,49
2021-11-19,Haryana,207,2021,11,19,50
2021-11-20,Haryana,182,2021,11,20,51
2021-11-21,Haryana,270,2021,11,21,52
2021-11-22,Haryana,148,2021,11,22,53
2021-11-23,Haryana,62,2021,11,23,54
2021-11-24,Haryana,71,2021,11,24,55
2021-11-25,Haryana,54,2021,11,25,56
2021-11-26,Haryana,89,2021,11,26,57
2021-11-27,Haryana,56,2021,11,27,58
2021-11-28,Haryana,19,2021,11,28,59
2021-11-29,Haryana,28,2021,11,29,60
2021-11-30,Haryana,22,2021,11,30,61
2021-10-01,Delhi,0,2021,10,1,1
2021-10-02,Delhi,0,2021,10,2,2
2021-10-03,Delhi,1,2021,10,3,3
2021-10-04,Delhi,0,2021,10,4,4
2021-10-05,Delhi,1,2021,10,5,5
2021-10-06,Delhi,0,2021,10,6,6
2021-10-07,Delhi,0,2021,10,7,7
2021-10-08,Delhi,0,2021,10,8,8
2021-10-09,Delhi,1,2021,10,9,9
2021-10-10,Delhi,5,2021,10,10,10
2021-10-11,Delhi,0,2021,10,11,11
2021-10-12,Delhi,1,2021,10,12,12
2021-10-13,Delhi,0,2021,10,13,13
2021-10-14,Delhi,3,2021,10,14,14
2021-10-15,Delhi,3,2021,10,15,15
2021-10-16,Delhi,0,2021,10,16,16
2021-10-17,Delhi,0,2021,10,17,17
2021-10-18,Delhi,0,2021,10,18,18
2021-10-19,Delhi,1,2021,10,19,19
2021-10-20,Delhi,1,2021,10,20,20
2021-10-21,Delhi,0,2021,10,21,21
2021-10-22,Delhi,4,2021,10,22,22
2021-10-23,Delhi,0,2021,10,23,23
2021-10-24,Delhi,0,2021,10,24,24
2021-10-25,Delhi,1,2021,10,25,25
2021-10-26,Delhi,1,2021,10,26,26
2021-10-27,Delhi,0,2021,10,27,27
2021-10-28,Delhi,1,2021,10,28,28
2021-10-29,Delhi,1,2021,10,29,29
2021-10-30,Delhi,1,2021,10,30,30
2021-10-31,Delhi,2,2021,10,31,31
2021-11-01,Delhi,0,2021,11,1,32
2021-11-02,Delhi,0,2021,11,2,33
2021-11-03,Delhi,0,2021,11,3,34
2021-11-04,Delhi,1,2021,11,4,35
2021-11-05,Delhi,0,2021,11,5,36
2021-11-06,Delhi,0,2021,11,6,37
2021-11-07,Delhi,0,2021,11,7,38
2021-11-08,Delhi,0,2021,11,8,39
2021-11-09,Delhi,1,2021,11,9,40
2021-11-10,Delhi,2,2021,11,10,41
2021-11-11,Delhi,0,2021,11,11,42
2021-11-12,Delhi,0,2021,11,12,43
2021-11-13,Delhi,0,2021,11,13,44
2021-11-14,Delhi,1,2021,11,14,45
2021-11-15,Delhi,1,2021,11,15,46
2021-11-16,Delhi,1,2021,11,16,47
2021-11-17,Delhi,0,2021,11,17,48
2021-11-18,Delhi,0,2021,11,18,49
2021-11-19,Delhi,0,2021,11,19,50
2021-11-20,Delhi,2,2021,11,20,51
2021-11-21,Delhi,3,2021,11,21,52
2021-11-22,Delhi,2,2021,11,22,53
2021-11-23,Delhi,0,2021,11,23,54
2021-11-24,Delhi,0,2021,11,24,55
2021-11-25,Delhi,1,2021,11,25,56
2021-11-26,Delhi,4,2021,11,26,57
