date,latitude,longitude,count,frp
2023-10-05,31.50,74.88,2,5.70
2023-10-05,31.50,75.12,1,3.89
2023-10-05,31.50,75.24,1,1.79
2023-10-05,31.56,74.58,1,4.38
2023-10-05,31.56,74.76,2,12.38
2023-10-05,31.56,74.82,3,12.96
2023-10-05,31.56,74.88,1,2.97
2023-10-05,31.56,75.06,6,29.92
2023-10-05,31.56,75.12,6,89.10
2023-10-05,31.56,75.18,5,35.57
2023-10-05,31.56,75.24,2,12.22
2023-10-05,31.56,75.30,2,8.27
2023-10-05,31.62,74.64,1,5.05
2023-10-05,31.62,74.82,2,6.78
2023-10-05,31.62,75.06,1,3.16
2023-10-05,31.62,75.18,1,3.49
2023-10-05,31.62,75.24,4,14.60
2023-10-05,31.62,75.30,2,6.08
2023-10-05,31.68,74.64,1,4.01
2023-10-05,31.68,74.94,3,45.09
2023-10-05,31.68,75.00,3,9.67
2023-10-05,31.68,75.12,1,3.89
2023-10-05,31.68,75.18,1,7.03
2023-10-05,31.74,74.88,1,2.46
2023-10-05,31.74,74.94,2,4.77
2023-10-05,31.74,75.00,2,16.85
2023-10-05,31.74,75.06,1,4.01
2023-10-05,31.74,75.12,2,9.37
2023-10-05,31.74,75.18,1,2.89
2023-10-05,31.80,74.94,3,13.41
2023-10-05,31.80,75.00,2,16.35
2023-10-05,31.80,75.18,1,3.58
2023-10-05,31.86,74.58,1,11.88
2023-10-05,31.86,74.82,1,3.14
2023-10-05,31.92,74.76,2,6.71
2023-10-05,31.92,74.88,1,2.72
2023-10-05,31.98,74.82,1,4.14
2023-10-05,32.52,74.82,3,16.11
2023-10-06,27.96,77.58,4,20.96
2023-10-06,28.02,77.40,1,4.74
2023-10-06,28.02,77.58,1,10.41
2023-10-06,28.14,77.58,2,5.62
2023-10-06,28.38,78.06,1,3.82
2023-10-06,28.62,78.66,1,4.77
2023-10-06,28.68,77.04,1,5.67
2023-10-06,28.80,77.16,2,2.04
2023-10-06,29.16,76.68,1,2.22
2023-10-06,29.28,73.86,1,3.18
2023-10-06,29.40,75.06,1,1.62
2023-10-06,29.46,74.46,1,3.08
2023-10-06,29.52,76.08,1,5.04
2023-10-06,29.64,75.90,2,6.08
2023-10-06,29.64,76.44,2,6.74
2023-10-06,29.70,76.74,1,3.57
